timestamp;event;ip;hostname
2025-06-18 05:19:07;JOIN;192.168.1.206;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.34;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.38;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.1;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.56;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.69;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.35;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.36;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.41;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.50;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.47;Unknown
2025-06-18 05:19:07;LEAVE;192.168.1.68;Unknown
2025-06-18 05:19:09;JOIN;192.168.1.89;Unknown
2025-06-18 05:19:09;LEAVE;192.168.1.206;Unknown
2025-06-18 05:19:10;JOIN;192.168.1.56;Unknown
2025-06-18 05:19:10;JOIN;192.168.1.68;Unknown
2025-06-18 05:19:10;JOIN;192.168.1.69;Unknown
2025-06-18 05:19:10;JOIN;192.168.1.206;Unknown
2025-06-18 05:19:10;LEAVE;192.168.1.40;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.1;_gateway
2025-06-18 05:19:13;JOIN;192.168.1.22;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.35;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.34;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.40;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.38;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.36;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.41;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.47;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.50;Unknown
2025-06-18 05:19:13;JOIN;192.168.1.37;Unknown
2025-06-18 05:19:15;LEAVE;192.168.1.22;Unknown
2025-06-18 05:19:15;LEAVE;192.168.1.37;Unknown
2025-06-18 05:19:15;LEAVE;192.168.1.47;Unknown
2025-06-18 05:19:17;JOIN;192.168.1.22;Unknown
2025-06-18 05:19:17;JOIN;192.168.1.37;Unknown
2025-06-18 05:19:17;JOIN;192.168.1.32;Unknown
2025-06-18 05:19:17;JOIN;192.168.1.47;Unknown
2025-06-18 05:19:17;JOIN;192.168.1.49;Unknown
2025-06-18 05:19:19;LEAVE;192.168.1.89;Unknown
2025-06-18 05:19:19;LEAVE;192.168.1.49;Unknown
2025-06-18 05:19:22;JOIN;192.168.1.89;Unknown
2025-06-18 05:19:22;LEAVE;192.168.1.22;Unknown
2025-06-18 05:19:22;LEAVE;192.168.1.35;Unknown
2025-06-18 05:19:22;LEAVE;192.168.1.36;Unknown
2025-06-18 05:19:24;JOIN;192.168.1.22;Unknown
2025-06-18 05:19:24;JOIN;192.168.1.31;Unknown
2025-06-18 05:19:24;JOIN;192.168.1.35;Unknown
2025-06-18 05:19:24;JOIN;192.168.1.36;Unknown
2025-06-18 05:19:24;JOIN;192.168.1.49;Unknown
2025-06-18 05:19:24;JOIN;192.168.1.92;Unknown
2025-06-18 05:19:24;LEAVE;192.168.1.206;Unknown
2025-06-18 05:19:26;JOIN;192.168.1.206;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.92;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.22;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.32;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.89;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.34;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.31;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.49;Unknown
2025-06-18 05:19:26;LEAVE;192.168.1.47;Unknown
2025-06-18 05:19:28;JOIN;192.168.1.22;Unknown
2025-06-18 05:19:28;JOIN;192.168.1.31;Unknown
2025-06-18 05:19:28;JOIN;192.168.1.34;Unknown
2025-06-18 05:19:28;JOIN;192.168.1.89;Unknown
2025-06-18 05:19:30;JOIN;192.168.1.32;Unknown
2025-06-18 05:19:30;JOIN;192.168.1.47;Unknown
2025-06-18 05:19:30;LEAVE;192.168.1.37;Unknown
2025-06-18 05:19:30;LEAVE;192.168.1.206;Unknown
2025-06-18 05:19:32;JOIN;192.168.1.37;Unknown
2025-06-18 05:19:32;JOIN;192.168.1.206;Unknown
2025-06-18 05:19:32;LEAVE;192.168.1.32;Unknown
2025-06-18 05:19:32;LEAVE;192.168.1.31;Unknown
2025-06-18 05:19:32;LEAVE;192.168.1.41;Unknown
2025-06-18 05:19:34;JOIN;192.168.1.41;Unknown
2025-06-18 05:19:34;JOIN;192.168.1.49;Unknown
2025-06-18 05:19:34;LEAVE;192.168.1.22;Unknown
2025-06-18 05:19:34;LEAVE;192.168.1.37;Unknown
2025-06-18 05:19:36;JOIN;192.168.1.22;Unknown
2025-06-18 05:19:36;JOIN;192.168.1.37;Unknown
2025-06-18 05:19:36;LEAVE;192.168.1.38;Unknown
2025-06-18 05:19:36;LEAVE;192.168.1.49;Unknown
2025-06-18 05:19:36;LEAVE;192.168.1.47;Unknown
2025-06-18 05:19:39;JOIN;192.168.1.38;Unknown
2025-06-18 05:19:39;JOIN;192.168.1.47;Unknown
2025-06-18 05:19:39;JOIN;192.168.1.31;Unknown
2025-06-18 05:19:39;LEAVE;192.168.1.40;Unknown
2025-06-18 05:19:41;JOIN;192.168.1.40;Unknown
2025-06-18 05:19:41;LEAVE;192.168.1.89;Unknown
2025-06-18 05:19:41;LEAVE;192.168.1.31;Unknown
2025-06-18 05:19:43;JOIN;192.168.1.89;Unknown
2025-06-18 05:19:43;LEAVE;192.168.1.22;Unknown
2025-06-18 05:19:43;LEAVE;192.168.1.69;Unknown
2025-06-18 05:19:45;JOIN;192.168.1.31;Unknown
2025-06-18 05:19:45;JOIN;192.168.1.69;Unknown
2025-06-18 05:19:45;JOIN;192.168.1.92;Unknown
2025-06-18 05:19:45;LEAVE;192.168.1.40;Unknown
2025-06-18 05:19:47;JOIN;192.168.1.40;Unknown
2025-06-18 05:19:47;JOIN;192.168.1.49;Unknown
2025-06-18 05:19:47;LEAVE;192.168.1.92;Unknown
2025-06-18 05:19:47;LEAVE;192.168.1.31;Unknown
2025-06-18 05:19:49;JOIN;192.168.1.31;Unknown
2025-06-18 05:19:49;LEAVE;192.168.1.206;Unknown
2025-06-18 05:19:49;LEAVE;192.168.1.49;Unknown
2025-06-18 05:19:51;JOIN;192.168.1.92;Unknown
2025-06-18 05:19:51;LEAVE;192.168.1.37;Unknown
2025-06-18 05:19:51;LEAVE;192.168.1.40;Unknown
2025-06-18 05:19:54;JOIN;192.168.1.40;Unknown
2025-06-18 05:19:54;JOIN;192.168.1.32;Unknown
2025-06-18 05:19:54;JOIN;192.168.1.206;Unknown
2025-06-18 05:19:54;LEAVE;192.168.1.92;Unknown
2025-06-18 05:19:54;LEAVE;192.168.1.31;Unknown
2025-06-18 05:19:54;LEAVE;192.168.1.50;Unknown
2025-06-18 05:19:54;LEAVE;192.168.1.47;Unknown
2025-06-18 05:19:56;JOIN;192.168.1.22;Unknown
2025-06-18 05:19:56;JOIN;192.168.1.37;Unknown
2025-06-18 05:19:56;JOIN;192.168.1.50;Unknown
2025-06-18 05:19:56;JOIN;192.168.1.31;Unknown
2025-06-18 05:19:56;LEAVE;192.168.1.1;Unknown
2025-06-18 05:19:56;LEAVE;192.168.1.32;Unknown
2025-06-18 05:19:58;JOIN;192.168.1.1;_gateway
2025-06-18 05:19:58;LEAVE;192.168.1.34;Unknown
2025-06-18 05:20:00;JOIN;192.168.1.34;Unknown
2025-06-18 05:20:00;JOIN;192.168.1.47;Unknown
2025-06-18 05:20:00;LEAVE;192.168.1.89;Unknown
2025-06-18 05:20:02;JOIN;192.168.1.92;Unknown
2025-06-18 05:20:05;JOIN;192.168.1.89;Unknown
2025-06-18 05:20:05;LEAVE;192.168.1.92;Unknown
2025-06-18 05:20:05;LEAVE;192.168.1.22;Unknown
2025-06-18 05:20:05;LEAVE;192.168.1.34;Unknown
2025-06-18 05:20:05;LEAVE;192.168.1.50;Unknown
2025-06-18 05:20:07;JOIN;192.168.1.34;Unknown
2025-06-18 05:20:07;JOIN;192.168.1.92;Unknown
2025-06-18 05:20:07;LEAVE;192.168.1.56;Unknown
2025-06-18 05:20:07;LEAVE;192.168.1.40;Unknown
2025-06-18 05:20:09;JOIN;192.168.1.22;Unknown
2025-06-18 05:20:09;JOIN;192.168.1.40;Unknown
2025-06-18 05:20:09;JOIN;192.168.1.50;Unknown
2025-06-18 05:20:09;JOIN;192.168.1.56;Unknown
2025-06-18 05:20:09;LEAVE;192.168.1.92;Unknown
2025-06-18 05:20:09;LEAVE;192.168.1.31;Unknown
2025-06-18 05:20:09;LEAVE;192.168.1.37;Unknown
2025-06-18 05:20:11;JOIN;192.168.1.37;Unknown
2025-06-18 05:20:11;JOIN;192.168.1.49;Unknown
2025-06-18 05:20:11;LEAVE;192.168.1.38;Unknown
2025-06-18 05:20:11;LEAVE;192.168.1.22;Unknown
2025-06-18 05:20:11;LEAVE;192.168.1.1;Unknown
2025-06-18 05:20:14;JOIN;192.168.1.1;_gateway
2025-06-18 05:20:14;JOIN;192.168.1.38;Unknown
2025-06-18 05:20:16;LEAVE;192.168.1.49;Unknown
2025-06-18 05:20:18;JOIN;192.168.1.32;Unknown
2025-06-18 05:20:18;JOIN;192.168.1.31;Unknown
2025-06-18 05:20:18;JOIN;192.168.1.49;Unknown
2025-06-18 05:20:18;LEAVE;192.168.1.1;Unknown
2025-06-18 05:20:18;LEAVE;192.168.1.47;Unknown
2025-06-18 05:20:20;JOIN;192.168.1.1;_gateway
2025-06-18 05:20:20;JOIN;192.168.1.22;Unknown
2025-06-18 05:20:20;LEAVE;192.168.1.32;Unknown
2025-06-18 05:20:20;LEAVE;192.168.1.89;Unknown
2025-06-18 05:20:20;LEAVE;192.168.1.31;Unknown
2025-06-18 05:20:20;LEAVE;192.168.1.49;Unknown
2025-06-18 05:20:22;LEAVE;192.168.1.36;Unknown
2025-06-18 05:20:24;JOIN;192.168.1.36;Unknown
2025-06-18 05:20:24;JOIN;192.168.1.47;Unknown
2025-06-18 05:20:24;JOIN;192.168.1.31;Unknown
2025-06-18 05:20:24;JOIN;192.168.1.89;Unknown
2025-06-18 05:20:24;LEAVE;192.168.1.22;Unknown
2025-06-18 05:20:26;LEAVE;192.168.1.37;Unknown
